,hist,ensmean,ens5th,ens25th,ens75th,ens95th
15/10/2022,NA,NA,NA,NA,NA,NA
16/10/2022,NA,NA,NA,NA,NA,NA
17/10/2022,NA,NA,NA,NA,NA,NA
18/10/2022,NA,NA,NA,NA,NA,NA
19/10/2022,0.274217278,NA,NA,NA,NA,NA
20/10/2022,NA,NA,NA,NA,NA,NA
21/10/2022,0.128696337,NA,NA,NA,NA,NA
22/10/2022,NA,NA,NA,NA,NA,NA
23/10/2022,0.729458988,NA,NA,NA,NA,NA
24/10/2022,0.304460138,NA,NA,NA,NA,NA
25/10/2022,0.163178012,NA,NA,NA,NA,NA
26/10/2022,0.434931517,NA,NA,NA,NA,NA
27/10/2022,0.662455916,NA,NA,NA,NA,NA
28/10/2022,1.277776837,NA,NA,NA,NA,NA
29/10/2022,NA,NA,NA,NA,NA,NA
30/10/2022,0.185320541,NA,NA,NA,NA,NA
31/10/2022,1.192470193,NA,NA,NA,NA,NA
1/11/2022,6.088320732,NA,NA,NA,NA,NA
2/11/2022,2.233643293,NA,NA,NA,NA,NA
3/11/2022,0.852090359,NA,NA,NA,NA,NA
4/11/2022,3.452176809,NA,NA,NA,NA,NA
5/11/2022,3.479136705,NA,NA,NA,NA,NA
6/11/2022,3.106702089,NA,NA,NA,NA,NA
7/11/2022,2.866837502,NA,NA,NA,NA,NA
8/11/2022,0.983825505,NA,NA,NA,NA,NA
9/11/2022,0.670704365,NA,NA,NA,NA,NA
10/11/2022,1.187697172,NA,NA,NA,NA,NA
11/11/2022,5.991545677,NA,NA,NA,NA,NA
12/11/2022,11.13860703,NA,NA,NA,NA,NA
13/11/2022,2.326701164,NA,NA,NA,NA,NA
14/11/2022,3.817841053,NA,NA,NA,NA,NA
15/11/2022,1.205168605,NA,NA,NA,NA,NA
16/11/2022,NA,NA,NA,NA,NA,NA
17/11/2022,NA,NA,NA,NA,NA,NA
18/11/2022,NA,NA,NA,NA,NA,NA
19/11/2022,NA,NA,NA,NA,NA,NA
20/11/2022,NA,NA,NA,NA,NA,NA
21/11/2022,0.536672413,NA,NA,NA,NA,NA
22/11/2022,26.15571022,NA,NA,NA,NA,NA
23/11/2022,0.56874913,NA,NA,NA,NA,NA
24/11/2022,1.640383363,NA,NA,NA,NA,NA
25/11/2022,1.123105168,NA,NA,NA,NA,NA
26/11/2022,16.09458733,NA,NA,NA,NA,NA
27/11/2022,9.588971138,NA,NA,NA,NA,NA
28/11/2022,0.847686768,NA,NA,NA,NA,NA
